Sapk,K,Sbk,Ik,SpP,P,SbP,IP,PvP,SpC,C,SbC,IC,SpO,O,FAMILY,REFERENCE,FAMILY,Last Word,UUID,EOL Page ID
Superkingdom Eukaryota,,,,,,,,,,,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Eukaryota,8468B753-8BC5-AD66-BC66-45C08CCD8DA9,2908256
Superkingdom Eukaryota,Kingdom Plantae,,,,,,,,,,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Plantae,1A3D79BB-FC71-2BB7-EE7F-75BCCD8C78D7,281
Superkingdom Eukaryota,Kingdom Plantae,Subkingdom Viridiplantae,,,,,,,,,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Viridiplantae,4013A10A-AFA3-A7A7-E1A6-B27B05B7D0DE,10460529
Superkingdom Eukaryota,Kingdom Plantae,Subkingdom Viridiplantae,Infrakingdom Streptophyta,,,,,,,,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Streptophyta,DB6BFFE1-6BBB-A624-66DB-57E9E0D8D0E2,11823577
Superkingdom Eukaryota,Kingdom Plantae,Subkingdom Viridiplantae,Infrakingdom Streptophyta,Superphylum Embryophyta,,,,,,,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Embryophyta,71E4C0D6-010B-A936-AAF6-DD15EEA3CA48,2913521
Superkingdom Eukaryota,Kingdom Plantae,Subkingdom Viridiplantae,Infrakingdom Streptophyta,Superphylum Embryophyta,Phylum Tracheophyta,,,,,,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Tracheophyta,35191EFA-2A10-FEA2-97CA-8D31B6FB557A,4077
Superkingdom Eukaryota,Kingdom Plantae,Subkingdom Viridiplantae,Infrakingdom Streptophyta,Superphylum Embryophyta,Phylum Tracheophyta,Subphylum Spermatophytina,,,,,,,,,,0,FALSE,Spermatophytina,D51C29D5-63AE-4884-F1CA-0F11E9F204C0,28825126
Superkingdom Eukaryota,Kingdom Plantae,Subkingdom Viridiplantae,Infrakingdom Streptophyta,Superphylum Embryophyta,Phylum Tracheophyta,Subphylum Spermatophytina,,,"Superclass ""Angiospermae""",,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Angiospermae,46808922-A0AB-9656-7942-AD0F7C0AFA06,282
Superkingdom Eukaryota,Kingdom Plantae,Subkingdom Viridiplantae,Infrakingdom Streptophyta,Superphylum Embryophyta,Phylum Tracheophyta,Subphylum Spermatophytina,,,"Superclass ""Angiospermae""",Class Magnoliopsida,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Magnoliopsida,46F93C62-A7DC-415F-DADE-4FE6FB8D5D40,283
Superkingdom Eukaryota,Kingdom Plantae,Subkingdom Viridiplantae,Infrakingdom Streptophyta,Superphylum Embryophyta,Phylum Tracheophyta,Subphylum Spermatophytina,,,"Superclass ""Angiospermae""",Class Magnoliopsida,,,Superorder Asteranae,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Asteranae,8B65B2AE-BC95-5FA4-8ECB-A613128BEB66,11864133
Superkingdom Eukaryota,Kingdom Plantae,Subkingdom Viridiplantae,Infrakingdom Streptophyta,Superphylum Embryophyta,Phylum Tracheophyta,Subphylum Spermatophytina,,,"Superclass ""Angiospermae""",Class Magnoliopsida,,,Superorder Asteranae,Order Solanales,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Solanales,3E8453AF-F2DC-D76B-E983-7FE3A6E4B935,4430
Superkingdom Eukaryota,Kingdom Plantae,Subkingdom Viridiplantae,Infrakingdom Streptophyta,Superphylum Embryophyta,Phylum Tracheophyta,Subphylum Spermatophytina,,,"Superclass ""Angiospermae""",Class Magnoliopsida,,,Superorder Asteranae,Order Solanales,Family Convolvulaceae,"Stevens, 2013",TRUE,Convolvulaceae,2D269A63-7A77-0A4B-9FDC-200F9247E186,4431
Superkingdom Eukaryota,Kingdom Plantae,Subkingdom Viridiplantae,Infrakingdom Streptophyta,Superphylum Embryophyta,Phylum Tracheophyta,Subphylum Spermatophytina,,,"Superclass ""Angiospermae""",Class Magnoliopsida,,,Superorder Asteranae,Order Solanales,Family Hydroleaceae,"Stevens, 2013",TRUE,Hydroleaceae,7E93864C-59B1-715C-C10D-BE20437FB51B,6889237
Superkingdom Eukaryota,Kingdom Plantae,Subkingdom Viridiplantae,Infrakingdom Streptophyta,Superphylum Embryophyta,Phylum Tracheophyta,Subphylum Spermatophytina,,,"Superclass ""Angiospermae""",Class Magnoliopsida,,,Superorder Asteranae,Order Solanales,Family Montiniaceae,"Stevens, 2013",TRUE,Montiniaceae,7EE28BCF-172E-2C13-EE66-4DD478B1063D,6859536
Superkingdom Eukaryota,Kingdom Plantae,Subkingdom Viridiplantae,Infrakingdom Streptophyta,Superphylum Embryophyta,Phylum Tracheophyta,Subphylum Spermatophytina,,,"Superclass ""Angiospermae""",Class Magnoliopsida,,,Superorder Asteranae,Order Solanales,Family Solanaceae,"Stevens, 2013",TRUE,Solanaceae,E150313D-756C-40B0-4221-393CFAE2170C,4437
Superkingdom Eukaryota,Kingdom Plantae,Subkingdom Viridiplantae,Infrakingdom Streptophyta,Superphylum Embryophyta,Phylum Tracheophyta,Subphylum Spermatophytina,,,"Superclass ""Angiospermae""",Class Magnoliopsida,,,Superorder Asteranae,Order Solanales,Family Sphenocleaceae,"Stevens, 2013",TRUE,Sphenocleaceae,153B689F-522D-DAC8-6D97-BC1C7C6C4280,4217
Superkingdom Eukaryota,Kingdom Animalia,,,,,,,,,,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Animalia,DE422F66-8FA5-8E16-E8D3-36FB0E76E245,1
Superkingdom Eukaryota,Kingdom Animalia,Subkingdom Bilateria,,,,,,,,,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Bilateria,AA465248-D240-2767-9B74-E0F8158A635A,3014411
Superkingdom Eukaryota,Kingdom Animalia,Subkingdom Bilateria,Infrakingdom Deuterostomia,,,,,,,,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Deuterostomia,C88983E2-932A-2E6B-83E6-255786C20EC3,8814528
Superkingdom Eukaryota,Kingdom Animalia,Subkingdom Bilateria,Infrakingdom Deuterostomia,,Phylum Chordata,,,,,,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Chordata,D097B77A-0897-C603-CCCF-8267775BDC6B,694
Superkingdom Eukaryota,Kingdom Animalia,Subkingdom Bilateria,Infrakingdom Deuterostomia,,Phylum Chordata,Subphylum Vertebrata,,,,,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Vertebrata,5155ACDE-5303-0B7F-6784-C20B057143A3,2774383
Superkingdom Eukaryota,Kingdom Animalia,Subkingdom Bilateria,Infrakingdom Deuterostomia,,Phylum Chordata,Subphylum Vertebrata,Infraphylum Gnathostomata,,,,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Gnathostomata,E157785F-0304-36D6-908A-EB6C2B91EF2D,12094272
Superkingdom Eukaryota,Kingdom Animalia,Subkingdom Bilateria,Infrakingdom Deuterostomia,,Phylum Chordata,Subphylum Vertebrata,Infraphylum Gnathostomata,,Superclass Tetrapoda,,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Tetrapoda,FD12F38A-46CE-8C09-13DE-078799D393F4,4712200
Superkingdom Eukaryota,Kingdom Animalia,Subkingdom Bilateria,Infrakingdom Deuterostomia,,Phylum Chordata,Subphylum Vertebrata,Infraphylum Gnathostomata,,Superclass Tetrapoda,Class Mammalia,,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Mammalia,D36871F0-5E33-D543-5AD0-50C66CFB7DAE,1642
Superkingdom Eukaryota,Kingdom Animalia,Subkingdom Bilateria,Infrakingdom Deuterostomia,,Phylum Chordata,Subphylum Vertebrata,Infraphylum Gnathostomata,,Superclass Tetrapoda,Class Mammalia,Subclass Theria,,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Theria,CECD04A6-E8A6-649D-75E1-114C3E1BF982,57446
Superkingdom Eukaryota,Kingdom Animalia,Subkingdom Bilateria,Infrakingdom Deuterostomia,,Phylum Chordata,Subphylum Vertebrata,Infraphylum Gnathostomata,,Superclass Tetrapoda,Class Mammalia,Subclass Theria,Infraclass Eutheria,,,,"Ruggiero & Gordon (Eds.), 2013",FALSE,Eutheria,B4CD66C2-ECDE-BB86-2DDB-DC889C1C01CC,2844801
